,candidate_id,state,donation_count,total_raised,cycle
0,S0SD00070,CA,2,2000.0,2020
1,S0SD00070,DC,2,3800.0,2020
2,S0SD00070,SD,118,26585.0,2020
3,S0SD00070,WY,2,1000.0,2020
4,S0CO00500,AZ,3,1500.0,2020
5,S0CO00500,CA,235,171688.0,2020
6,S0CO00500,CO,1138,285837.59,2020
7,S0CO00500,CT,14,21600.0,2020
8,S0CO00500,DC,162,115461.0,2020
9,S0CO00500,DE,7,240.0,2020
10,S0CO00500,FL,44,28850.0,2020
11,S0CO00500,GA,32,1532.0,2020
12,S0CO00500,IL,72,30869.0,2020
13,S0CO00500,KS,14,800.0,2020
14,S0CO00500,KY,8,17800.0,2020
15,S0CO00500,MA,71,63628.0,2020
16,S0CO00500,MD,55,28610.0,2020
17,S0CO00500,ME,1,250.0,2020
18,S0CO00500,MI,5,2515.0,2020
19,S0CO00500,MN,8,2200.0,2020
20,S0CO00500,NC,3,1550.0,2020
21,S0CO00500,NH,2,2950.0,2020
22,S0CO00500,NJ,13,6370.0,2020
23,S0CO00500,NM,1,250.0,2020
24,S0MT00116,AL,1,100.0,2020
25,S0MT00116,AZ,1,500.0,2020
26,S0MT00116,CA,1,300.0,2020
27,S0MT00116,ID,2,750.0,2020
28,S0MT00116,MN,1,300.0,2020
29,S0MT00116,MO,4,1750.0,2020
30,S0MT00116,MT,13,4630.0,2020
31,S0MT00116,NC,2,1000.0,2020
32,S0MT00116,NY,3,3250.0,2020
33,S0MT00116,OK,1,1000.0,2020
34,S0MT00116,OR,2,800.0,2020
35,S0MT00116,UT,1,1000.0,2020
36,S0MT00116,VA,1,500.0,2020
37,S0MT00116,VT,4,3300.0,2020
38,S0MT00116,WA,2,850.0,2020
39,S0MT00116,WY,3,1050.0,2020
40,S0TX00324,AK,1,1000.0,2020
41,S0TX00324,AL,3,2800.0,2020
42,S0TX00324,AZ,1,250.0,2020
43,S0TX00324,CA,10,6459.0,2020
44,S0TX00324,CO,3,750.0,2020
45,S0TX00324,DC,5,1250.0,2020
46,S0TX00324,FL,7,9900.0,2020
47,S0TX00324,IL,1,500.0,2020
48,S0TX00324,KY,1,500.0,2020
49,S0TX00324,LA,1,1000.0,2020
50,S0TX00324,MA,2,600.0,2020
51,S0TX00324,NY,2,3800.0,2020
52,S0TX00324,OH,1,500.0,2020
53,S0TX00324,PA,1,500.0,2020
54,S0TX00324,TX,537,312254.4,2020
55,S0TX00324,VA,2,800.0,2020
56,S0WY00152,AK,4,1250.0,2020
57,S0WY00152,AZ,1,500.0,2020
58,S0WY00152,CA,5,1667.39,2020
59,S0WY00152,CO,2,1500.0,2020
60,S0WY00152,FL,1,2800.0,2020
61,S0WY00152,GA,3,1250.0,2020
62,S0WY00152,ID,1,250.0,2020
63,S0WY00152,IL,2,500.0,2020
64,S0WY00152,MA,2,750.0,2020
65,S0WY00152,MT,1,250.0,2020
66,S0WY00152,NC,1,500.0,2020
67,S0WY00152,NJ,1,300.0,2020
68,S0WY00152,NM,1,250.0,2020
69,S0WY00152,NY,5,2600.0,2020
70,S0WY00152,PA,1,500.0,2020
71,S0WY00152,WA,2,500.0,2020
72,S0WY00152,WY,26,10785.0,2020
73,S0OK00339,OK,1,250.0,2020
74,S0KS00323,AA,3,300.0,2020
75,S0KS00323,AE,4,400.0,2020
76,S0KS00323,AK,7,7650.0,2020
77,S0KS00323,AL,24,8105.0,2020
78,S0KS00323,AR,7,9900.0,2020
79,S0KS00323,AZ,61,16927.5,2020
80,S0KS00323,CA,1440,791725.05,2020
81,S0KS00323,CO,193,176011.35,2020
82,S0KS00323,CT,107,63252.24,2020
83,S0KS00323,DC,153,83796.54,2020
84,S0KS00323,DE,22,588.0,2020
85,S0KS00323,FL,242,118067.88,2020
86,S0KS00323,GA,81,20608.5,2020
87,S0KS00323,HI,37,12753.0,2020
88,S0KS00323,IA,24,5658.33,2020
89,S0KS00323,ID,6,4275.0,2020
90,S0KS00323,IL,441,232430.17,2020
91,S0KS00323,IN,33,7747.5,2020
92,S0KS00323,KS,4924,1615578.8,2020
93,S0KS00323,KY,17,3962.5,2020
94,S4NJ00185,AK,5,1100.0,2020
95,S4NJ00185,AL,11,306.2,2020
96,S4NJ00185,AR,13,11375.0,2020
97,S4NJ00185,AZ,68,22030.44,2020
98,S4NJ00185,CA,1215,845419.68,2020
99,S4NJ00185,CO,66,62355.0,2020
100,S4NJ00185,CT,139,67659.4,2020
101,S4NJ00185,DC,65,33427.61,2020
102,S4NJ00185,DE,12,4101.2,2020
103,S4NJ00185,FL,174,63809.43,2020
104,S4NJ00185,GA,70,13467.0,2020
105,S4NJ00185,HI,5,248.0,2020
106,S4NJ00185,IA,44,6687.1,2020
107,S4NJ00185,ID,1,500.0,2020
108,S4NJ00185,IL,143,99202.83,2020
109,S4NJ00185,IN,28,4964.6,2020
110,S4NJ00185,KS,18,9133.0,2020
111,S4NJ00185,KY,14,225.0,2020
112,S4NJ00185,LA,31,930.04,2020
113,S4NJ00185,MA,172,87559.04,2020
114,S0KS00224,CA,1,2800.0,2020
115,S0KS00224,CO,1,500.0,2020
116,S0KS00224,KS,10,5420.0,2020
117,S0KS00224,TX,1,1000.0,2020
118,S0TN00342,FL,1,1000.0,2020
119,S0TN00342,GA,1,250.0,2020
120,S0TN00342,NJ,3,1000.0,2020
121,S0TN00342,TN,15,7310.0,2020
122,S0CO00492,CA,3,177.0,2020
123,S0CO00492,CO,79,26863.69,2020
124,S0CO00492,DC,1,500.0,2020
125,S0CO00492,FL,1,1000.0,2020
126,S0CO00492,IL,1,250.0,2020
127,S0CO00492,MA,1,500.0,2020
128,S0CO00492,MD,9,7712.0,2020
129,S0CO00492,ME,1,500.0,2020
130,S0CO00492,MN,3,2139.0,2020
131,S0CO00492,NC,1,500.0,2020
132,S0CO00492,NY,8,5117.0,2020
133,S0CO00492,PA,3,1700.0,2020
134,S0CO00492,VA,3,5850.0,2020
135,S0CO00492,VT,1,1000.0,2020
136,S0CO00492,WY,1,250.0,2020
137,S0CO00492,ZZ,1,1000.0,2020
138,S0KY00321,AE,1,250.0,2020
139,S0KY00321,AR,2,414.0,2020
140,S0KY00321,AZ,7,900.0,2020
141,S0KY00321,CA,119,56457.0,2020
142,S0KY00321,CO,11,2450.0,2020
143,S0KY00321,CT,11,11200.0,2020
144,S0KY00321,DC,30,16739.0,2020
145,S0KY00321,FL,24,10264.0,2020
146,S0KY00321,GA,19,580.0,2020
147,S0KY00321,HI,16,6000.0,2020
148,S0KY00321,IA,5,3200.0,2020
149,S0KY00321,ID,5,3050.0,2020
150,S0KY00321,IL,27,8859.0,2020
151,S0KY00321,IN,11,2058.0,2020
152,S0KY00321,KS,2,1000.0,2020
153,S0KY00321,KY,287,43976.57,2020
154,S0KY00321,LA,10,585.0,2020
155,S0KY00321,MA,20,11083.0,2020
156,S0KY00321,MD,11,7382.0,2020
157,S0KY00321,ME,10,1900.0,2020
158,S0OK00370,AR,4,6000.0,2020
159,S0OK00370,AZ,2,1300.0,2020
160,S0OK00370,CA,23,11668.5,2020
161,S0OK00370,CO,1,100.0,2020
162,S0OK00370,DC,4,1500.0,2020
163,S0OK00370,FL,3,550.0,2020
164,S0OK00370,IL,5,2800.0,2020
165,S0OK00370,KS,49,506.0,2020
166,S0OK00370,MA,4,6300.0,2020
167,S0OK00370,MI,3,1015.0,2020
168,S0OK00370,MO,3,1500.0,2020
169,S0OK00370,ND,1,250.0,2020
170,S0OK00370,NM,3,3325.0,2020
171,S0OK00370,NY,10,935.0,2020
172,S0OK00370,OK,1260,391386.39,2020
173,S0OK00370,TX,5,4450.0,2020
174,S0OK00370,VA,3,950.0,2020
175,S0OK00370,WA,3,5850.0,2020
176,S0MT00173,AK,22,8436.02,2020
177,S0MT00173,AL,11,3551.88,2020
178,S0MT00173,AR,40,11988.34,2020
179,S0MT00173,AZ,139,59601.2,2020
180,S0MT00173,CA,2842,1879579.02,2020
181,S0MT00173,CO,267,187065.18,2020
182,S0MT00173,CT,206,125275.65,2020
183,S0MT00173,DC,456,308458.72,2020
184,S0MT00173,DE,18,10169.0,2020
185,S0MT00173,FL,407,205849.49,2020
186,S0MT00173,GA,129,82508.66,2020
187,S0MT00173,HI,16,11250.0,2020
188,S0MT00173,IA,82,18925.0,2020
189,S0MT00173,ID,87,47485.0,2020
190,S0MT00173,IL,491,358011.21,2020
191,S0MT00173,IN,32,11302.5,2020
192,S0MT00173,KS,59,4305.56,2020
193,S0MT00173,KY,21,13285.0,2020
194,S0MT00173,LA,23,27700.0,2020
195,S0MT00173,MA,776,532934.25,2020
196,S0CO00526,AA,1,1400.0,2020
197,S0CO00526,CA,1,300.0,2020
198,S0CO00526,CO,11,10950.0,2020
199,S0CO00526,MA,2,1401.0,2020
200,S0CO00526,PA,1,500.0,2020
201,S0CO00526,TX,2,900.0,2020
202,S0MT00090,AZ,5,300.0,2020
203,S0MT00090,CA,41,8401.3,2020
204,S0MT00090,CO,11,375.0,2020
205,S0MT00090,CT,11,207.0,2020
206,S0MT00090,DC,23,8750.0,2020
207,S0MT00090,DE,2,300.0,2020
208,S0MT00090,FL,23,5225.0,2020
209,S0MT00090,GA,2,1500.0,2020
210,S0MT00090,ID,1,500.0,2020
211,S0MT00090,IN,3,600.0,2020
212,S0MT00090,KS,4,270.0,2020
213,S0MT00090,LA,3,450.0,2020
214,S0MT00090,MA,2,500.0,2020
215,S0MT00090,MD,40,11655.0,2020
216,S0MT00090,ME,1,2800.0,2020
217,S0MT00090,MN,11,755.0,2020
218,S0MT00090,MO,2,200.0,2020
219,S0MT00090,MT,352,53051.44,2020
220,S0MT00090,NC,11,4600.0,2020
221,S0MT00090,NY,10,8350.0,2020
222,S0DE00092,AA,21,12300.0,2020
223,S0DE00092,AK,2,750.0,2020
224,S0DE00092,AL,3,3333.33,2020
225,S0DE00092,AR,2,2000.0,2020
226,S0DE00092,AZ,54,52650.0,2020
227,S0DE00092,CA,306,332193.5,2020
228,S0DE00092,CO,48,56750.0,2020
229,S0DE00092,CT,41,71337.5,2020
230,S0DE00092,DC,202,166817.9,2020
231,S0DE00092,DE,1548,785843.1,2020
232,S0DE00092,FL,51,57611.0,2020
233,S0DE00092,GA,38,27482.5,2020
234,S0DE00092,HI,8,17800.0,2020
235,S0DE00092,IA,3,250.0,2020
236,S0DE00092,ID,3,3800.0,2020
237,S0DE00092,IL,96,107760.0,2020
238,S0DE00092,IN,4,4750.0,2020
239,S0DE00092,KS,4,135.0,2020
240,S0DE00092,LA,4,5000.0,2020
241,S0DE00092,MA,80,140875.0,2020
242,S0TX00332,CA,1,1000.0,2020
243,S0TX00332,GA,1,500.0,2020
244,S0TX00332,TX,2,1000.0,2020
245,S0NC00202,AA,4,550.0,2020
246,S0NC00202,AK,11,7681.82,2020
247,S0NC00202,AL,39,11128.61,2020
248,S0NC00202,AR,24,5014.58,2020
249,S0NC00202,AZ,107,24847.89,2020
250,S0NC00202,CA,4057,2340765.22,2020
251,S0NC00202,CO,225,129242.37,2020
252,S0NC00202,CT,227,131480.87,2020
253,S0NC00202,DC,607,379004.55,2020
254,S0NC00202,DE,44,2436.81,2020
255,S0NC00202,FL,716,187362.18,2020
256,S0NC00202,GA,193,63092.93,2020
257,S0NC00202,HI,39,8630.0,2020
258,S0NC00202,IA,13,4666.67,2020
259,S0NC00202,ID,43,16642.5,2020
260,S0NC00202,IL,589,354058.47,2020
261,S0NC00202,IN,64,14229.0,2020
262,S0NC00202,KS,131,6381.72,2020
263,S0NC00202,KY,56,20411.5,2020
264,S0NC00202,LA,78,12745.04,2020
265,S0GA00500,CA,18,12050.0,2020
266,S0GA00500,CO,1,250.0,2020
267,S0GA00500,GA,8,2250.0,2020
268,S0GA00500,IL,1,250.0,2020
269,S0GA00500,MI,1,250.0,2020
270,S0GA00500,VA,1,500.0,2020
271,S6IL00151,AK,5,215.0,2020
272,S6IL00151,AR,1,2500.0,2020
273,S6IL00151,AZ,48,14871.75,2020
274,S6IL00151,CA,426,201677.46,2020
275,S6IL00151,CO,111,83943.87,2020
276,S6IL00151,CT,23,2648.75,2020
277,S6IL00151,DC,137,96830.89,2020
278,S6IL00151,DE,14,2845.01,2020
279,S6IL00151,FL,147,69523.15,2020
280,S6IL00151,GA,24,6995.0,2020
281,S6IL00151,HI,4,650.0,2020
282,S6IL00151,IA,26,2384.5,2020
283,S6IL00151,ID,1,500.0,2020
284,S6IL00151,IL,9400,2391390.21,2020
285,S6IL00151,IN,59,19568.5,2020
286,S6IL00151,KS,24,685.0,2020
287,S6IL00151,KY,5,1675.0,2020
288,S6IL00151,LA,7,5500.0,2020
289,S6IL00151,MA,133,90801.01,2020
290,S6IL00151,MD,97,43825.1,2020
291,S0TX00258,AR,1,1000.0,2020
292,S0TX00258,AZ,6,900.0,2020
293,S0TX00258,CA,71,25608.75,2020
294,S0TX00258,CO,5,5800.0,2020
295,S0TX00258,DC,38,13319.5,2020
296,S0TX00258,FL,15,11835.27,2020
297,S0TX00258,GA,60,28663.75,2020
298,S0TX00258,HI,1,250.0,2020
299,S0TX00258,IL,4,3450.0,2020
300,S0TX00258,IN,2,1500.0,2020
301,S0TX00258,KS,1,500.0,2020
302,S0TX00258,LA,17,8000.0,2020
303,S0TX00258,MA,13,7079.0,2020
304,S0TX00258,MD,12,5250.0,2020
305,S0TX00258,MI,5,2500.0,2020
306,S0TX00258,MO,7,13350.0,2020
307,S0TX00258,NC,2,500.0,2020
308,S0TX00258,NJ,6,1860.0,2020
309,S0TX00258,NV,1,2800.0,2020
310,S0TX00258,NY,38,18845.0,2020
311,S8MS00287,AL,7,3020.0,2020
312,S8MS00287,AR,12,10950.0,2020
313,S8MS00287,AZ,10,3445.0,2020
314,S8MS00287,CA,270,125101.28,2020
315,S8MS00287,CO,8,8850.0,2020
316,S8MS00287,CT,8,4350.0,2020
317,S8MS00287,DC,67,30457.5,2020
318,S8MS00287,DE,2,350.0,2020
319,S8MS00287,FL,37,22905.0,2020
320,S8MS00287,GA,28,6700.0,2020
321,S8MS00287,HI,3,200.0,2020
322,S8MS00287,IA,13,1587.0,2020
323,S8MS00287,ID,1,250.0,2020
324,S8MS00287,IL,24,8300.0,2020
325,S8MS00287,IN,18,1060.0,2020
326,S8MS00287,LA,30,4515.0,2020
327,S8MS00287,MA,100,28709.33,2020
328,S8MS00287,MD,59,34587.5,2020
329,S8MS00287,ME,4,560.0,2020
330,S8MS00287,MI,12,2975.0,2020
331,S0IA00200,AE,4,950.0,2020
332,S0IA00200,AL,1,1000.0,2020
333,S0IA00200,AR,4,6100.0,2020
334,S0IA00200,AZ,3,4300.0,2020
335,S0IA00200,CA,107,56450.0,2020
336,S0IA00200,CO,15,5175.0,2020
337,S0IA00200,CT,14,6050.0,2020
338,S0IA00200,DC,85,30850.0,2020
339,S0IA00200,DE,2,200.0,2020
340,S0IA00200,FL,57,20365.0,2020
341,S0IA00200,GA,12,4025.0,2020
342,S0IA00200,HI,5,3800.0,2020
343,S0IA00200,IA,641,181990.73,2020
344,S0IA00200,ID,3,2500.0,2020
345,S0IA00200,IL,29,14743.34,2020
346,S0IA00200,IN,5,925.0,2020
347,S0IA00200,KY,3,300.0,2020
348,S0IA00200,LA,1,100.0,2020
349,S0IA00200,MA,49,31654.25,2020
350,S0IA00200,MD,27,12100.0,2020
351,S0NC00285,MA,1,500.0,2020
352,S0NC00285,NC,31,21150.0,2020
353,S0NC00285,NY,4,2800.0,2020
354,S0NC00285,SC,1,500.0,2020
355,S0TX00381,CA,2,2000.0,2020
356,S0TX00381,DC,1,1000.0,2020
357,S0TX00381,FL,1,2800.0,2020
358,S0TX00381,MN,1,300.0,2020
359,S0TX00381,TX,9,7350.0,2020
360,S0CO00435,CA,24,4186.7,2020
361,S0CO00435,CO,354,45220.88,2020
362,S0CO00435,IL,11,1838.0,2020
363,S0CO00435,MA,8,3000.0,2020
364,S0CO00435,MI,5,925.0,2020
365,S0CO00435,MN,3,100.0,2020
366,S0CO00435,NC,1,2000.0,2020
367,S0CO00435,NE,1,1000.0,2020
368,S0CO00435,NY,4,3388.0,2020
369,S0CO00435,OT,3,775.0,2020
370,S0CO00435,PA,3,450.0,2020
371,S0CO00435,TX,3,800.0,2020
372,S0CO00435,VA,9,1798.0,2020
373,S0ME00111,AA,2,500.0,2020
374,S0ME00111,AE,20,1040.0,2020
375,S0ME00111,AK,48,8645.0,2020
376,S0ME00111,AL,153,15555.5,2020
377,S0ME00111,AP,2,150.0,2020
378,S0ME00111,AR,92,15101.0,2020
379,S0ME00111,AZ,506,83733.7,2020
380,S0ME00111,CA,10956,3181897.07,2020
381,S0ME00111,CO,891,263531.26,2020
382,S0ME00111,CT,1531,319676.08,2020
383,S0ME00111,DC,1269,444120.21,2020
384,S0ME00111,DE,93,14259.83,2020
385,S0ME00111,FL,2221,471164.9,2020
386,S0ME00111,GA,381,72337.68,2020
387,S0ME00111,HI,172,32643.25,2020
388,S0ME00111,IA,55,16522.5,2020
389,S0ME00111,ID,119,15389.0,2020
390,S0ME00111,IL,2000,494866.81,2020
391,S0ME00111,IN,219,28246.0,2020
392,S0ME00111,KS,212,7776.21,2020
393,S0IA00168,AK,1,200.0,2020
394,S0IA00168,CA,119,38714.85,2020
395,S0IA00168,CO,8,950.0,2020
396,S0IA00168,CT,3,1000.0,2020
397,S0IA00168,DC,8,3000.0,2020
398,S0IA00168,FL,8,847.5,2020
399,S0IA00168,IA,315,28971.2,2020
400,S0IA00168,IL,29,4050.0,2020
401,S0IA00168,IN,2,150.0,2020
402,S0IA00168,KS,1,5.0,2020
403,S0IA00168,MA,11,2765.0,2020
404,S0IA00168,MD,6,1055.0,2020
405,S0IA00168,ME,2,35.0,2020
406,S0IA00168,MN,5,220.0,2020
407,S0IA00168,MO,3,65.0,2020
408,S0IA00168,NC,1,250.0,2020
409,S0IA00168,NE,2,770.0,2020
410,S0IA00168,NJ,12,3729.0,2020
411,S0IA00168,NV,2,500.0,2020
412,S0IA00168,NY,9,7000.0,2020
413,S0IA00176,AA,2,200.0,2020
414,S0IA00176,AE,3,250.0,2020
415,S0IA00176,AK,8,9509.09,2020
416,S0IA00176,AL,30,6194.88,2020
417,S0IA00176,AP,22,760.0,2020
418,S0IA00176,AR,19,19375.0,2020
419,S0IA00176,AZ,100,32640.33,2020
420,S0IA00176,CA,3753,1588522.32,2020
421,S0IA00176,CO,311,172904.89,2020
422,S0IA00176,CT,230,136089.62,2020
423,S0IA00176,DC,476,316950.44,2020
424,S0IA00176,DE,27,2520.0,2020
425,S0IA00176,FL,721,201173.7,2020
426,S0IA00176,GA,97,35520.33,2020
427,S0IA00176,HI,71,10433.86,2020
428,S0IA00176,IA,4980,1037427.53,2020
429,S0IA00176,ID,28,14058.0,2020
430,S0IA00176,IL,869,329589.85,2020
431,S0IA00176,IN,92,11319.61,2020
432,S0IA00176,KS,188,3267.11,2020
433,S0KS00232,AK,1,250.0,2020
434,S0KS00232,AZ,2,750.0,2020
435,S0KS00232,CA,34,33932.0,2020
436,S0KS00232,CO,7,14750.0,2020
437,S0KS00232,DC,6,3500.0,2020
438,S0KS00232,DE,1,250.0,2020
439,S0KS00232,FL,5,2500.0,2020
440,S0KS00232,GA,2,500.0,2020
441,S0KS00232,IA,2,350.0,2020
442,S0KS00232,IL,1,1000.0,2020
443,S0KS00232,KS,311,187812.89,2020
444,S0KS00232,KY,1,500.0,2020
445,S0KS00232,LA,2,3100.0,2020
446,S0KS00232,MA,1,500.0,2020
447,S0KS00232,MD,4,3500.0,2020
448,S0KS00232,MI,2,1500.0,2020
449,S0KS00232,MN,2,750.0,2020
450,S0KS00232,MO,95,85180.0,2020
451,S0KS00232,MT,4,7100.0,2020
452,S0KS00232,NC,6,5000.0,2020
453,S0NJ00233,GA,1,100.0,2020
454,S0NJ00233,IL,2,400.0,2020
455,S0NJ00233,MO,1,250.0,2020
456,S0NJ00233,NJ,67,41504.0,2020
457,S0NJ00233,NY,2,750.0,2020
458,S0NJ00233,VA,1,1000.0,2020
459,S0ID00149,HI,3,700.0,2020
460,S0ID00149,ID,22,8121.2,2020
461,S0ID00149,WA,1,300.0,2020
462,S0SC00289,AE,60,2736.0,2020
463,S0SC00289,AK,233,14920.21,2020
464,S0SC00289,AL,353,26590.94,2020
465,S0SC00289,AP,16,970.0,2020
466,S0SC00289,AR,312,23891.37,2020
467,S0SC00289,AZ,1693,129304.64,2020
468,S0SC00289,CA,22462,2629621.7,2020
469,S0SC00289,CO,2224,171792.65,2020
470,S0SC00289,CT,1771,214168.7,2020
471,S0SC00289,DC,1813,327297.38,2020
472,S0SC00289,DE,423,22654.12,2020
473,S0SC00289,FL,5399,417881.98,2020
474,S0SC00289,GA,2437,154354.86,2020
