,Unnamed: 0,candidate_id,in_state_in_state,donation_count_in_state,total_raised_in_state,in_state_out_of_state,donation_count_out_of_state,total_raised_out_of_state,name,candidate_state,party,incumbent_challenge_full,cycles
0,0,H6KS01179,True,409.0,391671.03,False,71.0,66044.07,,,,,
1,1,S0WA00258,True,50.0,37253.5,False,2.0,2000.0,,,,,
2,2,S2AZ00141,True,938.0,896980.0,False,1246.0,1969834.01,,,,,
3,3,S2IN00109,True,1.0,500.0,,,,,,,,
4,4,S2NE00094,True,1895.0,687912.19,False,1705.0,1568064.4500000004,,,,,
5,5,S2NV00183,True,5111.0,2880789.26,False,7421.0,5355485.240000001,,,,,
6,6,S2TX00312,True,72597.0,14136424.82,False,77578.0,9662911.759999998,,,,,
7,7,S2VA00167,True,232.0,150457.0,False,297.0,292634.0,,,,,
8,8,S4MI00298,True,2.0,600.0,False,2.0,35.0,,,,,
9,9,S4MS00120,True,424.0,159078.22,False,487.0,145152.93,,,,,
10,10,S4NJ00292,True,5.0,3227.64,False,2.0,1500.0,,,,,
11,11,S4WY00097,True,4.0,1310.0,False,3.0,600.0,,,,,
12,12,S6FL00277,True,3.0,200.0,,,,,,,,
13,13,S6TN00216,True,927.0,1023330.83,False,302.0,458374.0,,,,,
14,14,S6UT00063,True,108.0,135850.0,False,1563.0,2789984.0,,,,,
15,15,S6WY00068,True,438.0,253905.0,False,2084.0,2791732.66,,,,,
16,16,S8AL00316,True,21.0,15250.0,False,6.0,3000.0,,,,,
17,17,S8AL00332,True,2.0,1250.0,False,9.0,2900.0,,,,,
18,18,S8AL00340,True,1056.0,674097.64,False,7619.0,1719865.11,,,,,
19,19,S8AZ00213,True,9.0,11300.0,False,1.0,500.0,,,,,
20,20,S8AZ00221,True,10304.0,4603026.6,False,33639.0,8944839.83,,,,,
21,21,S8AZ00247,True,141.0,37652.0,False,1698.0,381971.76,,,,,
22,22,S8CA00440,True,13.0,3236.23,False,8.0,3180.21,,,,,
23,23,S8CA00523,True,1.0,500.0,False,1.0,1000.0,,,,,
24,24,S8CA00572,True,6.0,2650.0,False,4.0,10000.0,,,,,
25,25,S8CA00606,True,49.0,4745.93,False,159.0,13656.49,,,,,
26,26,S8CT00121,True,195.0,80710.0,False,6.0,6000.0,,,,,
27,27,S8DE00103,True,15.0,41709.41,False,26.0,19991.0,,,,,
28,28,S8DE00145,True,204.0,182484.76,False,21.0,14009.92,,,,,
29,29,S8IN00122,True,166.0,78606.75,False,28.0,25527.5,,,,,
30,30,S8IN00130,True,28.0,26600.0,False,13.0,10300.0,,,,,
31,31,S8IN00163,True,1247.0,1410782.73,False,317.0,381078.99,,,,,
32,32,S8IN00171,True,3544.0,3171160.04,False,3298.0,3209051.06,,,,,
33,33,S8MA00268,True,20.0,18253.0,False,115.0,89360.0,,,,,
34,34,S8MA00276,True,6595.0,1445077.25,False,3230.0,884679.12,,,,,
35,35,S8MA00318,True,474.0,452093.64,False,788.0,698198.36,,,,,
36,36,S8MA00326,True,1054.0,614818.79,False,503.0,206402.18,,,,,
37,37,S8MD00237,True,11.0,3500.0,False,39.0,13800.0,,,,,
38,38,S8MD00328,True,93.0,48065.0,False,78.0,99875.0,,,,,
39,39,S8MD00336,True,11.0,8200.0,False,20.0,13600.0,,,,,
40,40,S8ME00130,True,532.0,280349.26,False,693.0,556137.72,,,,,
41,41,S8MI00372,True,7890.0,4117083.77,False,7385.0,2661838.149999999,,,,,
42,42,S8MN00552,True,278.0,127402.07,False,8.0,1700.0,,,,,
43,43,S8MN00586,True,3920.0,2669214.49,False,1737.0,1010542.63,,,,,
44,44,S8MO00137,True,257.0,137354.65,False,312.0,215039.75,,,,,
45,45,S8MO00160,True,4835.0,3747484.66,False,7071.0,5135387.5,,,,,
46,46,S8MS00238,True,2.0,50.0,False,1.0,200.0,,,,,
47,47,S8MS00261,True,1431.0,1344750.83,False,2137.0,1388789.13,,,,,
48,48,S8MT00218,True,121.0,98400.0,False,190.0,247163.12,,,,,
49,49,S8MT00275,True,763.0,764461.19,False,141.0,255263.0,,,,,
50,50,S8ND00120,True,1834.0,1251799.05,False,2460.0,2952752.71,,,,,
51,51,S8NE00208,True,1.0,1000.0,,,,,,,,
52,52,S8NJ00509,True,1352.0,1482282.41,False,1060.0,1747269.04,,,,,
53,53,S8NV00164,True,1.0,85.0,,,,,,,,
54,54,S8NY00199,True,3.0,5000.0,,,,,,,,
55,55,S8NY00207,True,6.0,6400.0,False,3.0,4700.0,,,,,
56,56,S8NY00215,True,735.0,685551.89,False,178.0,209851.59,,,,,
57,57,S8OH00086,True,381.0,467918.73,False,94.0,126190.0,,,,,
58,58,S8OH00094,True,88.0,57658.02,False,83.0,13550.3,,,,,
59,59,S8OH00110,True,2.0,1500.0,False,2.0,2950.0,,,,,
60,60,S8PA00262,True,298.0,522722.98,False,116.0,189836.42,,,,,
61,61,S8PA00270,True,339.0,216836.23,False,14.0,23700.0,,,,,
62,62,S8PA00296,True,4.0,2700.0,False,2.0,5000.0,,,,,
63,63,S8PA00320,True,8833.0,2958393.52,False,2800.0,1024106.26,,,,,
64,64,S8RI00110,True,276.0,109723.0,False,48.0,22900.0,,,,,
65,65,S8RI00128,True,711.0,605961.78,False,210.0,289750.0,,,,,
66,66,S8TN00337,True,9514.0,5445929.03,False,12554.0,5237130.3900000015,,,,,
67,67,S8TN00352,True,631.0,1318772.73,False,61.0,84033.34,,,,,
68,68,S8TX00319,True,47.0,39202.0,False,62.0,82950.0,,,,,
69,69,S8TX00350,True,104.0,125520.0,False,2.0,500.0,,,,,
70,70,S8UT00168,True,13.0,7200.0,False,2.0,1000.0,,,,,
71,71,S8UT00234,True,2.0,2500.0,False,1.0,500.0,,,,,
72,72,S8UT00242,True,125.0,128090.0,False,130.0,87738.0,,,,,
73,73,S8VA00313,True,418.0,219495.3,False,353.0,141012.0,,,,,
74,74,S8WA00244,True,4.0,1200.0,False,2.0,700.0,,,,,
75,75,S8WA00277,True,5.0,445.2,False,1.0,2700.0,,,,,
76,76,S8WA00319,True,1874.0,1194225.87,False,86.0,135707.14,,,,,
77,77,S8WI00232,True,5.0,1500.42,,,,,,,,
78,78,S8WV00127,True,729.0,599950.46,False,283.0,552433.0,,,,,
79,79,S8WV00143,True,763.0,591139.38,False,4295.0,3572703.3500000006,,,,,
80,80,S8WY00197,True,8.0,4050.0,False,176.0,397095.0,,,,,
81,81,S8HI00194,,,,False,3.0,13000.0,,,,,
82,82,S8MN00594,,,,False,1.0,250.0,,,,,
83,83,S8NJ00012,,,,False,1.0,1000.0,,,,,
84,84,S8NJ00541,,,,False,3.0,6400.0,,,,,
85,85,S8PA00288,,,,False,6.0,1940.0,,,,,
86,86,S8VA00339,,,,False,2.0,1001.0,,,,,
0,0,S8AZ00122,,114.0,21611.44,,30.0,16350.85,"ABBOUD, DEEDRA",AZ,DEM,Open seat,"[2018, 2020]"
1,1,S2WI00219,,60978.0,7661848.89,,65362.0,11362450.31,"BALDWIN, TAMMY",WI,DEM,Incumbent,"[2012, 2014, 2016, 2018, 2020]"
2,2,S8MS00253,,1193.0,491585.32,,270.0,146113.91999999998,"BARIA, DAVID WAYNE",MS,DEM,Open seat,"[2018, 2020]"
3,3,S8MS00295,,5.0,1259.0,,2.0,1000.0,"BARTEE, TOBEY",MS,DEM,Challenger,"[2018, 2020]"
4,4,S8AZ00171,,4.0,1350.0,,,,"BISHOP, ROBERT BOB GRIMES",AZ,DEM,Open seat,[2018]
5,5,S8MS00220,,29.0,796.76,,44.0,905.83,"BOHREN, JENSEN MR",MS,DEM,Challenger,"[2018, 2020]"
6,6,S8AL00407,,3.0,652.0,,6.0,4494.72,"BOYD JR, WILLIE ""WILL""  EUGENE",AL,DEM,Challenger,[2018]
7,7,S8TN00386,,10088.0,4754762.95,,6897.0,4636156.86,"BREDESEN, PHILIP",TN,DEM,Open seat,"[2018, 2020]"
8,8,S6OH00163,,60461.0,8516788.62,,38495.0,6958095.15,"BROWN, SHERROD",OH,DEM,,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]"
9,9,S8WA00194,,17077.0,3727093.58,,6750.0,3450779.54,"CANTWELL, MARIA",WA,DEM,,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]"
10,10,S6MD03177,,1401.0,1128677.15,,1049.0,1242270.77,"CARDIN, BENJAMIN L",MD,DEM,Incumbent,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]"
11,11,S8DE00079,,1049.0,363752.86,,818.0,847046.91,"CARPER, THOMAS R.",DE,DEM,,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]"
12,12,S6PA00217,,43221.0,12207573.22,,14341.0,7429747.1400000015,"CASEY, ROBERT P. JR.",PA,DEM,,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]"
13,13,S8NV00131,,23.0,6130.0,,9.0,3160.0,"CRADDOCK, JAY GREGORY",NV,DEM,Challenger,[2018]
14,14,S8CA00408,,2461.0,1896777.5,,383.0,189913.75,"DE LEON, KEVIN",CA,DEM,Challenger,"[2018, 2020]"
15,15,S2IN00091,,15489.0,2944149.73,,10596.0,6192285.36,"DONNELLY, JOSEPH S",IN,DEM,Incumbent,"[2012, 2014, 2016, 2018, 2020]"
16,16,S6IL00292,,2546.0,310657.82,,4906.0,491300.38000000006,"DUCKWORTH, L TAMMY",IL,DEM,Challenger,"[2016, 2018, 2020]"
17,17,S8MO00186,,,,,2.0,207.0,"EARL, ANGELICA",MO,DEM,Challenger,"[2018, 2020]"
